Date,Time,Ping (ms),Jitter (ms),Download (Mbps),Upload (Mbps)
07/05/22,02:10,1.90,0.28,94.13,93.86
07/05/22,02:21,2.34,0.06,94.10,93.87
07/05/22,02:41,2.28,0.13,94.38,93.86
07/05/22,02:43,2.38,0.04,94.35,93.85
07/05/22,02:44,1.93,0.19,94.14,93.86
07/05/22,02:49,3.41,0.44,93.54,93.87
07/05/22,02:50,3.35,0.31,94.55,93.88
07/05/22,02:54,3.40,0.12,94.08,93.86
07/05/22,03:00,3.26,0.78,94.53,93.88
07/05/22,03:15,3.33,0.05,94.09,93.86
07/05/22,03:30,3.34,0.59,94.03,93.87
07/05/22,03:45,2.30,0.07,93.72,93.90
07/05/22,04:00,3.44,0.49,93.98,93.50
07/05/22,04:15,2.28,0.05,94.60,93.88
07/05/22,04:30,3.77,0.66,94.30,93.45
07/05/22,04:45,1.98,0.26,94.30,93.85
07/05/22,05:00,9.06,2.64,93.98,63.37
07/05/22,05:15,2.32,0.12,93.49,93.84
07/05/22,05:30,3.24,0.16,94.19,93.90
07/05/22,05:45,2.27,0.21,94.54,93.85
07/05/22,06:00,12.32,114.16,93.88,80.48
07/05/22,06:15,2.27,0.07,94.47,93.87
07/05/22,06:30,13.35,229.61,94.09,90.86
07/05/22,06:45,3.38,0.11,93.53,93.86
07/05/22,07:00,3.38,0.12,94.22,93.87
07/05/22,07:15,3.28,0.06,94.44,93.86
07/05/22,07:30,6.61,0.42,93.93,74.85
07/05/22,07:45,2.37,0.05,94.34,93.85
07/05/22,08:00,8.63,0.56,94.00,63.50
07/05/22,08:15,2.34,0.12,94.20,93.86
07/05/22,08:30,3.92,0.20,93.80,93.89
07/05/22,08:45,2.01,0.27,94.05,93.86
07/05/22,09:00,8.24,55.79,94.37,93.88
07/05/22,09:15,2.31,0.24,94.52,93.88
07/05/22,09:30,12.68,0.92,93.95,86.80
07/05/22,09:45,3.73,0.20,93.96,93.88
07/05/22,10:00,3.36,0.22,93.95,93.72
07/05/22,10:15,2.33,0.06,93.91,93.85
07/05/22,10:30,3.84,0.27,93.71,93.89
07/05/22,10:45,2.15,0.19,94.39,93.88
07/05/22,11:00,3.39,0.60,94.11,93.86
07/05/22,11:15,2.22,0.41,93.47,93.86
07/05/22,11:30,4.42,0.35,94.75,93.42
07/05/22,11:45,2.35,0.05,93.65,93.87
07/05/22,12:00,3.41,0.25,94.33,93.64
07/05/22,12:15,2.30,0.06,94.19,93.86
07/05/22,12:30,4.82,0.15,94.05,92.36
07/05/22,12:45,3.51,0.50,93.35,93.89
07/05/22,13:00,5.20,0.22,94.19,92.38
07/05/22,13:15,2.34,0.03,94.28,93.87
07/05/22,13:30,4.34,1.42,94.02,93.44
07/05/22,13:45,2.27,0.15,94.16,93.86
07/05/22,14:00,3.70,0.33,94.39,93.73
07/05/22,14:15,2.34,0.39,94.38,93.87
07/05/22,14:30,3.61,0.32,94.12,93.96
07/05/22,14:45,2.27,0.07,94.34,93.87
07/05/22,15:00,4.86,0.77,93.93,84.84
07/05/22,15:15,3.50,0.27,94.44,93.90
07/05/22,15:30,25.55,1.44,93.71,91.72
07/05/22,15:45,2.28,0.09,94.04,93.86
07/05/22,16:15,3.43,1.03,94.05,93.88
07/05/22,16:30,5.41,0.80,94.58,93.87
07/05/22,16:45,3.33,0.15,94.16,93.86
07/05/22,17:00,4.04,0.23,93.74,93.86
07/05/22,17:15,3.40,0.11,93.82,93.88
07/05/22,17:30,6.84,0.67,93.74,93.47
07/05/22,17:45,2.35,0.11,94.33,93.87
07/05/22,18:00,4.59,0.29,94.14,89.92
07/05/22,18:15,2.36,0.08,94.06,93.84
07/05/22,18:30,4.84,0.20,94.28,92.00
07/05/22,18:45,2.35,0.27,94.02,93.89
07/05/22,19:00,3.70,0.24,94.25,93.86
07/05/22,19:15,2.26,0.15,94.44,93.85
07/05/22,19:30,3.33,0.60,93.91,93.91
07/05/22,19:45,2.37,0.05,93.67,93.86
07/05/22,20:00,4.00,0.31,94.06,93.90
07/05/22,20:15,2.38,0.05,93.91,93.86
07/05/22,20:30,3.73,0.32,94.28,93.89
07/05/22,20:45,2.29,0.15,94.34,93.86
07/05/22,21:00,4.06,0.47,93.92,93.87
07/05/22,21:15,2.28,0.43,93.95,93.85
07/05/22,21:30,3.74,0.32,94.03,93.84
07/05/22,21:45,2.23,0.11,94.70,93.86
07/05/22,22:00,3.91,0.17,94.16,93.84
07/05/22,22:15,2.16,0.31,94.39,93.83
07/05/22,22:30,3.64,0.38,94.19,93.95
07/05/22,22:45,2.15,0.12,93.80,93.88
07/05/22,23:00,4.06,0.93,94.05,93.91
07/05/22,23:15,2.36,0.05,94.25,93.87
07/05/22,23:30,3.95,0.35,94.03,93.57
07/05/22,23:45,2.36,0.06,94.16,93.85
07/06/22,00:00,3.83,0.06,94.36,93.86
07/06/22,00:15,2.21,0.36,94.32,93.88
07/06/22,00:30,4.59,1.95,93.95,77.87
07/06/22,00:45,2.29,0.05,94.48,93.86
07/06/22,01:00,3.63,0.10,94.05,93.89
07/06/22,01:15,2.92,0.15,94.64,93.86
07/06/22,01:30,22.43,2.29,90.21,93.81
07/06/22,01:45,2.38,0.04,94.21,93.86
07/06/22,02:00,4.64,3.09,93.83,93.49
07/06/22,02:15,2.30,0.08,94.49,93.87
07/06/22,02:30,11.39,2.10,92.65,80.66
07/06/22,02:45,2.33,0.10,94.27,93.86
07/06/22,03:00,2.90,0.19,94.56,93.88
07/06/22,03:15,1.94,0.16,94.58,93.85
07/06/22,03:30,3.05,0.92,94.11,93.80
07/06/22,03:45,1.93,0.34,93.78,93.86
07/06/22,04:00,11.50,0.76,94.01,79.58
07/06/22,04:15,2.32,0.07,93.83,93.84
07/06/22,04:30,3.73,0.11,93.99,93.87
07/06/22,04:45,2.91,0.15,94.17,93.84
07/06/22,05:00,3.49,0.36,93.88,94.18
07/06/22,05:15,2.94,0.23,94.43,93.87
07/06/22,05:30,11.47,0.55,93.04,44.12
07/06/22,05:45,2.90,0.13,94.54,93.85
07/06/22,06:00,12.02,1.38,94.02,92.72
07/06/22,06:15,2.22,0.15,93.83,93.83
07/06/22,06:30,3.82,0.04,94.20,93.85
07/06/22,06:45,2.08,0.31,94.64,93.88
07/06/22,07:00,3.34,0.09,94.51,93.86
07/06/22,07:15,2.33,0.08,94.15,93.88
07/06/22,07:30,4.39,0.38,94.01,75.14
07/06/22,07:45,2.32,0.05,93.94,93.85
07/06/22,08:00,3.29,0.09,94.15,93.87
07/06/22,08:15,2.07,0.38,94.00,93.88
07/06/22,08:30,4.93,0.31,93.68,93.87
07/06/22,08:45,2.34,0.11,93.78,93.85
07/06/22,09:00,11.72,140.86,94.09,85.99
07/06/22,09:15,2.32,0.07,93.92,93.85
07/06/22,09:30,16.39,0.42,94.06,93.73
07/06/22,09:45,2.30,0.19,93.76,93.86
07/06/22,10:00,4.05,0.35,94.30,93.89
07/06/22,10:15,2.14,0.40,93.90,93.85
07/06/22,10:30,10.15,1.68,93.97,35.61
07/06/22,10:45,3.49,0.30,94.78,93.91
07/06/22,11:00,12.37,2.58,93.64,81.76
07/06/22,11:15,2.25,0.13,93.42,93.86
07/06/22,11:30,3.38,1.74,94.44,93.88
07/06/22,11:45,2.28,0.06,94.00,93.88
07/06/22,12:00,4.28,0.07,94.12,93.80
07/06/22,12:15,2.37,0.04,94.03,93.86
07/06/22,12:30,3.27,0.86,94.38,93.86
07/06/22,12:45,2.25,0.11,94.20,93.86
07/06/22,13:00,3.69,0.19,94.03,93.88
07/06/22,13:15,2.36,0.09,94.21,93.85
07/06/22,13:30,4.01,0.29,93.93,93.88
07/06/22,13:45,2.32,0.07,94.45,93.86
07/06/22,14:15,3.22,0.12,94.53,93.91
07/06/22,14:30,4.76,32.46,91.22,91.95
07/06/22,14:45,3.42,0.17,94.38,93.86
07/06/22,15:00,4.03,0.27,93.71,93.80
07/06/22,15:15,2.37,0.06,94.32,93.85
07/06/22,15:30,3.85,0.18,94.14,93.84
07/06/22,15:45,2.34,0.10,93.82,93.88
07/06/22,16:00,8.98,0.49,92.03,93.40
07/06/22,16:15,2.37,0.02,94.62,93.86
07/06/22,16:30,21.28,2.38,94.25,93.65
07/06/22,16:45,2.01,0.12,94.28,93.85
07/06/22,17:00,4.14,0.16,94.27,93.84
07/06/22,17:15,2.00,0.21,94.36,93.86
07/06/22,17:30,3.96,0.45,94.01,93.91
07/06/22,17:45,2.38,0.14,93.95,93.85
07/06/22,18:00,18.76,2.72,94.07,91.34
07/06/22,18:15,3.19,0.11,94.27,93.89
07/06/22,18:30,4.22,0.38,94.60,93.90
07/06/22,18:45,2.29,0.06,94.14,93.89
07/06/22,19:00,4.05,0.48,93.99,93.85
07/06/22,19:15,2.34,0.06,94.08,93.84
07/06/22,19:30,4.00,0.16,93.80,93.90
07/06/22,19:45,2.32,0.07,94.37,93.87
07/06/22,20:00,5.52,0.28,93.96,93.85
07/06/22,20:15,2.32,0.06,94.13,93.86
07/06/22,20:30,3.61,0.48,93.99,93.89
07/06/22,20:45,2.30,0.14,94.25,93.86
07/06/22,21:00,4.19,0.48,93.96,93.92
07/06/22,21:15,2.36,0.11,93.54,93.87
07/06/22,21:30,3.92,0.27,94.43,93.78
07/06/22,21:45,2.33,0.07,94.46,93.85
07/06/22,22:00,3.53,0.36,93.26,93.83
07/06/22,22:15,2.32,0.08,93.88,93.87
07/06/22,22:30,21.95,60.71,94.19,88.78
07/06/22,22:45,2.22,0.09,94.19,93.90
07/06/22,23:00,8.26,0.46,93.80,93.71
07/06/22,23:15,2.29,0.06,94.21,93.85
07/06/22,23:30,4.28,0.10,94.24,93.86
07/06/22,23:45,2.31,0.13,94.20,93.82
07/07/22,00:00,3.29,0.18,94.21,93.88
07/07/22,00:15,2.01,0.25,93.67,93.86
07/07/22,00:30,7.10,1.53,94.12,92.68
07/07/22,00:45,3.38,0.33,94.42,93.88
07/07/22,01:00,3.38,0.25,94.01,93.90
07/07/22,01:15,2.33,0.06,94.02,93.84
07/07/22,01:30,3.45,0.25,94.23,93.84
07/07/22,01:45,2.35,0.07,94.42,93.84
07/07/22,02:00,3.26,0.19,94.20,93.87
07/07/22,02:15,2.31,0.06,94.09,93.87
07/07/22,02:30,14.08,2.20,94.35,88.91
07/07/22,02:45,2.32,0.13,94.45,93.88
07/07/22,03:00,3.35,0.07,93.93,93.88
07/07/22,03:15,2.33,0.06,94.13,93.84
07/07/22,03:30,12.44,3.96,94.16,94.29
07/07/22,03:45,2.28,0.11,94.12,93.84
07/07/22,04:00,10.81,0.53,94.11,82.98
07/07/22,04:15,2.24,0.14,94.15,93.86
07/07/22,04:30,4.78,0.19,93.96,93.87
07/07/22,04:45,2.34,0.06,94.24,93.87
07/07/22,05:00,3.56,0.18,94.13,93.66
07/07/22,05:15,2.33,0.05,94.54,93.88
07/07/22,05:30,5.13,0.09,92.55,93.10
07/07/22,05:45,2.29,0.12,94.34,93.86
07/07/22,06:00,3.41,0.62,94.45,93.85
07/07/22,06:15,3.28,0.36,93.64,93.86
07/07/22,06:30,4.23,1.37,94.06,93.48
07/07/22,06:45,3.29,0.06,94.17,93.87
07/07/22,07:00,3.73,0.05,94.25,93.87
07/07/22,07:15,2.29,0.07,93.85,93.86
07/07/22,07:30,10.52,0.69,94.11,74.92
07/07/22,07:45,2.30,0.12,94.10,93.85
07/07/22,08:00,3.33,0.30,94.32,93.91
07/07/22,08:15,1.92,0.24,94.03,93.86
07/07/22,08:30,3.35,0.39,93.88,93.89
07/07/22,08:45,0.22,0.59,94.13,93.87
07/07/22,09:00,3.40,0.11,93.87,93.87
07/07/22,09:15,2.37,0.07,93.80,93.87
07/07/22,09:30,3.31,0.70,93.74,93.86
07/07/22,09:45,2.27,0.05,94.10,93.84
07/07/22,10:00,3.52,0.67,94.09,93.62
07/07/22,10:15,3.57,0.17,94.58,93.88
07/07/22,10:30,3.87,0.05,94.16,93.87
07/07/22,10:45,3.46,0.12,94.16,93.87
07/07/22,11:00,3.79,0.17,93.89,93.85
07/07/22,11:15,2.49,0.29,94.30,93.87
07/07/22,11:30,5.87,0.59,94.20,93.89
07/07/22,11:45,2.36,0.09,94.00,93.86
07/07/22,12:00,3.34,0.24,94.41,93.85
07/07/22,12:15,2.34,0.13,94.54,93.87
07/07/22,12:30,3.49,0.24,94.20,93.89
07/07/22,12:45,3.42,0.11,93.81,93.97
07/07/22,13:00,3.46,0.76,94.48,93.91
07/07/22,13:15,2.33,0.10,93.96,93.84
07/07/22,13:30,3.82,1.41,94.20,86.87
07/07/22,13:45,2.28,0.09,94.35,93.85
07/07/22,14:00,3.41,0.30,94.18,87.89
07/07/22,14:15,2.29,0.08,94.51,93.87
07/07/22,14:30,3.97,0.56,94.13,84.76
07/07/22,14:45,2.38,0.06,94.01,93.86
07/07/22,15:00,9.24,0.69,89.87,93.82
07/07/22,15:15,2.22,0.33,94.57,93.86
07/07/22,15:30,5.34,0.47,94.64,93.86
07/07/22,15:45,2.34,0.10,94.43,93.87
07/07/22,16:00,5.03,53.53,93.95,89.43
07/07/22,16:15,3.46,0.37,94.07,93.86
07/07/22,16:45,2.37,0.45,94.12,93.86
07/07/22,17:00,4.33,105.68,93.65,92.47
07/07/22,17:15,2.28,0.57,94.24,93.86
07/07/22,17:30,5.87,0.34,49.82,82.16
07/07/22,17:45,3.31,0.21,94.18,93.89
07/07/22,18:00,4.51,1.14,94.44,93.92
07/07/22,18:15,2.31,0.20,94.44,93.86
07/07/22,18:30,21.56,2.13,94.02,94.07
07/07/22,18:45,3.94,0.22,94.03,93.89
07/07/22,19:00,4.73,0.29,94.14,89.29
07/07/22,19:15,3.31,0.07,93.89,93.87
07/07/22,19:30,3.72,0.59,94.59,93.87
07/07/22,19:45,3.44,0.32,94.38,93.86
07/07/22,20:00,3.99,0.54,94.10,93.81
07/07/22,20:15,2.27,0.22,94.01,93.85
07/07/22,20:30,3.90,1.49,93.65,80.39
07/07/22,20:45,2.32,0.31,94.48,93.86
07/07/22,21:00,4.93,3.46,94.08,92.90
07/07/22,21:15,2.32,0.10,94.31,93.86
07/07/22,21:45,2.35,0.04,94.62,93.90
07/07/22,22:00,4.11,0.27,94.25,93.80
07/07/22,22:15,3.54,0.21,93.87,93.86
07/07/22,22:30,16.01,1.96,94.01,93.09
07/07/22,22:45,2.40,0.05,93.74,93.86
07/07/22,23:00,3.80,0.36,94.13,93.81
07/07/22,23:15,1.95,0.29,94.28,93.85
07/07/22,23:30,4.08,0.25,94.23,93.86
07/07/22,23:53,2.23,0.27,94.09,93.86
Date,Time,Ping (ms),Jitter (ms),Download (Mbps),Upload (Mbps)
07/08/22,00:16,3.27,0.23,94.31,93.85
